% Sensorgestyetzte intelligente Umgebungen
%
% Introduction to Machine Learning
%
% Oscar Martinez Mozos  ommozos@ommozos.unizar.es
%

@relation people_2D

@attribute n_points integer
@attribute std real
@attribute mean_deviation real
@attribute width real
@attribute linearity real
@attribute circularity real
@attribute radius real
@attribute boundary_length real
@attribute boundary_regularity real
@attribute mean_curvaure real
@attribute angular_difference real
@attribute person {-1, 1} 

@data
58,0.45276,0.20167,0.75538,1.7454,0.40594,0.25998,0.98969,0.016275,932.36,-0.012235,-1
95,0.5671,0.31313,1.3701,2.1292,0.061696,1.9413,1.532,0.0085766,2208.3,0.020976,-1
36,0.43455,0.18454,0.69059,3.7628,0.36849,0.21605,0.82917,0.014776,442.74,-0.014512,-1
33,0.31173,0.093672,0.34413,1.6585,0.0010404,0.18253,0.43053,0.0043615,858.21,0.051295,-1
49,0.46849,0.21499,0.8466,0.17733,0.0035775,2.99,0.85761,0.0010683,423.41,0.003714,-1
19,0.21392,0.044083,0.12676,0.44119,0.0020248,0.050566,0.21368,0.0048556,644.32,0.066558,1
14,0.308,0.087937,0.30784,0.087617,0.011491,0.14024,0.33211,0.0055615,225.52,-0.0056639,-1
23,0.20707,0.041855,0.14145,0.29466,0.0025508,0.056273,0.21084,0.0054889,857.39,0.074742,1
12,0.30311,0.081116,0.30724,0.15683,0.0013914,0.21357,0.34168,0.018784,221.05,-0.0104,-1
34,0.49457,0.23605,0.86097,0.17779,0.183,0.43504,0.92395,0.011601,384.58,0.061519,-1
13,0.31164,0.089442,0.33009,0.038516,0.005084,0.22945,0.33287,0.00062682,42.94,0.00047465,-1
58,0.4519,0.20128,0.75402,1.6858,0.3371,0.27752,0.97224,0.015129,1109.2,-0.0060283,-1
95,0.56688,0.31291,1.3591,2.0637,0.064037,1.9292,1.5225,0.0079872,2409.7,0.021048,-1
36,0.43458,0.1844,0.68852,3.2365,0.33973,0.21946,0.84075,0.01541,489.09,-0.024727,-1
34,0.31814,0.096876,0.36058,1.5479,0.00095625,0.18736,0.47243,0.0067881,854.68,0.062042,-1
51,0.47753,0.22348,0.88128,0.44869,0.00426,2.7561,0.90079,0.0016263,476.72,0.0072824,-1
19,0.21497,0.043776,0.1272,0.43578,0.0021193,0.051008,0.21829,0.0043811,549.25,0.11285,1
14,0.31084,0.089726,0.31188,0.090369,0.012418,0.13907,0.33344,0.0055709,210.9,-0.0056639,-1
23,0.20825,0.042264,0.14122,0.31045,0.0025995,0.055816,0.21322,0.005545,971.06,0.085442,1
11,0.2997,0.080376,0.27416,0.14714,0.00085046,0.19297,0.30806,0.019212,221.86,-0.10253,-1
34,0.49465,0.23613,0.89849,0.16388,0.0098235,1.8503,0.95005,0.011088,292.16,0.064647,-1
13,0.31294,0.090166,0.32969,0.070719,0.0042252,0.24258,0.33683,0.0013262,69.595,-0.029229,-1
58,0.45221,0.20146,0.75404,1.7254,0.36179,0.27164,0.97563,0.015729,966.24,-0.0060283,-1
95,0.56709,0.31297,1.3673,2.1294,0.070378,1.8676,1.56,0.0089507,2349.2,0.0214,-1
36,0.43424,0.18384,0.69163,3.2035,0.31532,0.22228,0.83102,0.015744,451.39,-0.0074287,-1
35,0.32589,0.10115,0.38014,2.5714,0.0011397,0.18742,0.55625,0.011171,867.14,0.072717,-1
49,0.46865,0.21511,0.84713,0.2131,0.3921,0.30979,0.86311,0.0018751,395.4,-0.001426,-1
19,0.21626,0.044482,0.12764,0.4571,0.0023149,0.051347,0.22645,0.0051974,657.61,0.085018,1
14,0.31143,0.090059,0.30743,0.098785,0.022717,0.11052,0.32464,0.0040218,121.57,-0.0056639,-1
22,0.20338,0.040509,0.13157,0.28729,0.0030693,0.050212,0.19359,0.0043215,836.64,0.064489,1
14,0.3077,0.087391,0.30718,0.28688,0.0020037,0.16735,0.36219,0.018683,238.95,-0.0017947,-1
34,0.49714,0.23855,0.89451,0.15629,0.015643,1.5055,0.94341,0.010426,389.61,0.058746,-1
13,0.31164,0.089397,0.32945,0.048065,0.00078236,0.52313,0.33214,0.00051962,47.382,-0.0086603,-1
58,0.45231,0.20165,0.75217,1.7267,0.39136,0.2627,0.97401,0.015092,882.73,-0.0086135,-1
95,0.56681,0.31271,1.3669,2.1378,0.07091,1.8629,1.5506,0.0086037,2578.4,0.021436,-1
36,0.43571,0.18529,0.6906,4.2115,0.41431,0.21201,0.85545,0.017137,509.46,-0.013155,-1
35,0.32407,0.10059,0.37163,1.8645,0.00086279,0.1899,0.4894,0.0058102,912.17,0.048507,-1
52,0.48188,0.22772,0.90023,0.69903,0.017882,1.5463,0.94995,0.00302,553.71,0.027703,-1
19,0.21529,0.044094,0.12682,0.44255,0.0021759,0.050339,0.21317,0.0038553,519.94,0.084979,1
14,0.31176,0.09028,0.31587,0.092855,0.034509,0.10259,0.33754,0.0061284,194,-0.044685,-1
23,0.20719,0.0421,0.13796,0.31142,0.0033176,0.053492,0.20012,0.0045107,911.68,0.0081504,1
12,0.29604,0.076875,0.30336,0.16146,0.0014192,0.21036,0.33389,0.019254,132.13,-0.037152,-1
34,0.4977,0.23894,0.90523,0.18614,0.0077481,2.0438,0.95878,0.011675,275.9,0.062309,-1
